TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionType,Location,IP Address,Channel,CustomerOccupation,PreviousTransactionDate,TransactionAmount_Binned,CustomerAge_Binned
14.089999999999975,70.0,81.0,1.0,5112.21,2023-04-11 16:29:14,Debit,San Diego,162.198.218.92,ATM,Doctor,2024-11-04 08:08:08,,Young
376.24,68.0,141.0,1.0,13758.91,2023-06-27 16:44:19,Debit,Houston,13.149.61.4,ATM,Doctor,2024-11-04 08:09:35,Low,Young
126.29000000000002,19.0,56.0,1.0,1122.35,2023-07-10 18:16:08,Debit,Mesa,215.97.143.157,Online,Student,2024-11-04 08:07:04,,
184.5,26.0,25.0,1.0,8569.06,2023-05-05 16:32:11,Debit,Raleigh,200.13.225.150,Online,Student,2024-11-04 08:09:06,,
13.449999999999989,,198.0,1.0,7429.4,2023-04-03 17:15:01,Debit,Oklahoma City,117.67.192.211,ATM,Student,2024-11-04 08:06:36,,
92.15,18.0,172.0,1.0,781.6800000000003,2023-02-15 16:36:48,Credit,Seattle,140.212.253.222,ATM,Doctor,2024-11-04 08:10:09,,
7.079999999999984,37.0,139.0,1.0,13316.71,2023-05-08 17:47:59,Credit,Indianapolis,92.214.76.157,Branch,Retired,2024-11-04 08:10:55,,Young
171.42,67.0,291.0,1.0,2796.24,2023-03-21 16:59:46,Credit,Detroit,24.148.92.177,Branch,Engineer,2024-11-04 08:11:14,,Young
106.23000000000002,51.0,86.0,1.0,9095.14,2023-03-31 16:06:57,Debit,Nashville,32.169.88.41,ATM,Doctor,2024-11-04 08:06:32,Low,Young
815.96,55.0,120.0,1.0,1021.8800000000006,2023-03-14 16:46:10,Credit,Albuquerque,213.15.9.253,Online,Engineer,2024-11-04 08:06:45,,Young
17.779999999999973,52.0,59.0,1.0,7599.52,2023-02-06 17:30:00,Debit,Memphis,116.175.11.222,Online,Student,2024-11-04 08:07:12,,
190.02,21.0,173.0,1.0,1528.81,2023-06-07 17:21:28,Credit,Mesa,210.98.198.143,Branch,Student,2024-11-04 08:08:38,Low,
494.52,24.0,111.0,1.0,1620.02,2023-11-20 16:39:15,Debit,Memphis,193.83.0.183,ATM,Student,2024-11-04 08:07:06,Low,
781.76,26.0,123.0,1.0,189.6899999999996,2023-02-13 16:53:57,Debit,Louisville,188.124.181.12,Online,Student,2024-11-04 08:10:09,,
166.99,18.0,134.0,1.0,299.9300000000003,2023-12-12 16:23:31,Debit,Denver,221.169.49.152,ATM,Engineer,2024-11-04 08:12:19,Low,
465.45,36.0,129.0,1.0,3465.54,2023-10-30 16:52:49,Credit,Austin,53.218.177.171,Branch,Student,2024-11-04 08:07:35,Low,
555.8,19.0,158.0,1.0,1131.2600000000002,2023-12-14 18:32:14,Debit,Columbus,114.223.129.47,Online,Engineer,2024-11-04 08:11:51,Low,
492.93,39.0,234.0,1.0,5109.97,2023-02-21 16:56:50,Credit,Albuquerque,93.218.115.132,Branch,Retired,2024-11-04 08:12:01,,Young
18.680000000000007,59.0,106.0,1.0,7948.37,2023-06-08 18:18:50,Credit,Columbus,120.170.93.69,Online,Student,2024-11-04 08:09:20,,
71.48000000000005,18.0,169.0,1.0,6568.59,2023-02-28 16:36:58,Debit,Los Angeles,116.44.12.250,Branch,Retired,2024-11-04 08:09:24,,Young
