TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,TransactionAmount_Binned,CustomerAge_Binned,Target
14.089999999999975,70.0,81.0,1.0,5112.21,Debit,San Diego,ATM,Doctor,Low,Young,3.0
376.24,68.0,141.0,1.0,13758.91,Debit,Houston,ATM,Doctor,Low,Young,0.0
126.29000000000002,19.0,56.0,1.0,1122.35,Debit,Mesa,Online,Student,Low,Young,1.0
184.5,26.0,25.0,1.0,8569.06,Debit,Raleigh,Online,Student,Low,Young,0.0
13.449999999999989,44.67844382691544,198.0,1.0,7429.4,Debit,Oklahoma City,ATM,Student,Low,Young,1.0
92.15,18.0,172.0,1.0,781.6800000000003,Credit,Seattle,ATM,Doctor,Low,Young,0.0
7.079999999999984,37.0,139.0,1.0,13316.71,Credit,Indianapolis,Branch,Retired,Low,Young,2.0
171.42,67.0,291.0,1.0,2796.24,Credit,Detroit,Branch,Engineer,Low,Young,0.0
106.23000000000002,51.0,86.0,1.0,9095.14,Debit,Nashville,ATM,Doctor,Low,Young,3.0
815.96,55.0,120.0,1.0,1021.8800000000006,Credit,Albuquerque,Online,Engineer,Low,Young,3.0
17.779999999999973,52.0,59.0,1.0,7599.52,Debit,Memphis,Online,Student,Low,Young,1.0
190.02,21.0,173.0,1.0,1528.81,Credit,Mesa,Branch,Student,Low,Young,1.0
494.52,24.0,111.0,1.0,1620.02,Debit,Memphis,ATM,Student,Low,Young,1.0
781.76,26.0,123.0,1.0,189.6899999999996,Debit,Louisville,Online,Student,Low,Young,1.0
166.99,18.0,134.0,1.0,299.9300000000003,Debit,Denver,ATM,Engineer,Low,Young,1.0
465.45,36.0,129.0,1.0,3465.54,Credit,Austin,Branch,Student,Low,Young,1.0
555.8,19.0,158.0,1.0,1131.2600000000002,Debit,Columbus,Online,Engineer,Low,Young,2.0
492.93,39.0,234.0,1.0,5109.97,Credit,Albuquerque,Branch,Retired,Low,Young,3.0
18.680000000000007,59.0,106.0,1.0,7948.37,Credit,Columbus,Online,Student,Low,Young,1.0
71.48000000000005,18.0,169.0,1.0,6568.59,Debit,Los Angeles,Branch,Retired,Low,Young,3.0
59.31999999999999,71.0,38.0,1.0,5750.89,Debit,Las Vegas,Branch,Doctor,Low,Young,0.0
85.76999999999995,38.0,93.0,1.0,9146.19,Debit,Atlanta,Online,Engineer,Low,Young,0.0
52.19999999999999,39.0,120.0,1.0,8974.93,Debit,Raleigh,Online,Student,Low,Young,1.0
345.84,22.0,142.0,3.0,1402.5,Credit,Houston,Online,Retired,Low,Young,2.0
145.54,21.0,96.0,1.0,1930.96,Debit,Milwaukee,Branch,Engineer,Low,Young,1.0
7.490000000000009,65.0,276.0,1.0,3634.67,Debit,Las Vegas,Online,Doctor,Low,Young,2.0
246.93,23.0,158.0,5.0,673.3500000000004,Debit,Detroit,Branch,Student,Low,Young,2.0
40.31999999999999,37.0,95.0,1.0,2686.52,Credit,Miami,Online,Doctor,Low,Young,3.0
127.44999999999999,44.0,197.0,1.0,1772.06,Debit,Baltimore,ATM,Doctor,Low,Young,2.0
56.170000000000016,27.0,283.0,1.0,1351.69,Debit,Los Angeles,Online,Student,Low,Young,1.0
28.310000000000002,59.0,20.0,1.0,8334.47,Credit,San Francisco,Branch,Doctor,Low,Young,0.0
59.12000000000003,29.0,257.0,1.0,9823.64,Debit,Seattle,Branch,Engineer,Low,Young,3.0
396.45,49.0,168.0,3.0,9690.15,Debit,Milwaukee,Branch,Student,Low,Young,1.0
877.81,22.0,150.0,1.0,399.0,Debit,Oklahoma City,Online,Retired,Low,Young,2.0
255.26,45.0,50.0,1.0,14815.87,Debit,San Antonio,ATM,Retired,Low,Young,3.0
124.75999999999999,49.0,45.0,1.0,5764.72,Debit,Philadelphia,Online,Doctor,Low,Young,0.0
78.13,26.0,145.0,1.0,900.6099999999997,Credit,Charlotte,Online,Doctor,Low,Young,0.0
649.28,75.0,137.0,1.1216216216216217,4875.86,Debit,Tucson,ATM,Student,Low,Young,1.0
795.31,66.0,90.0,2.0,7914.88,Debit,Louisville,Branch,Student,Low,Young,1.0
335.63,55.0,216.0,1.0,1019.3899999999999,Debit,Chicago,Branch,Retired,Low,Young,3.0
328.47,63.0,119.0,1.0,4323.66,Debit,Baltimore,Branch,Student,Low,Young,1.0
34.01999999999998,38.0,19.0,1.0,14214.48,Debit,Oklahoma City,Online,Student,Low,Young,1.0
241.42,57.0,116.0,1.0,13357.02,Debit,Denver,Online,Student,Low,Young,1.0
55.31999999999999,19.0,117.0,1.0,241.78999999999996,Credit,Sacramento,Online,Engineer,Low,Young,2.0
304.31,27.0,33.0,1.0,868.6099999999997,Credit,Kansas City,Online,Retired,Low,Young,3.0
435.27,74.0,90.0,1.0,4673.28,Debit,Omaha,Online,Engineer,Low,Young,2.0
164.49,26.0,75.0,1.0,1509.27,Debit,Virginia Beach,Branch,Doctor,Low,Young,0.0
510.24,19.0,105.0,1.0,781.6999999999998,Debit,San Diego,Branch,Student,Low,Young,1.0
626.9,26.0,138.0,1.0,265.5100000000002,Debit,Omaha,ATM,Retired,Low,Young,3.0
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,Debit,Mesa,Branch,Student,Low,Young,1.0
425.34,69.0,121.0,1.0,3907.54,Credit,Columbus,Branch,Retired,Low,Young,3.0
424.56,51.0,264.0,1.0,5183.85,Credit,Dallas,Branch,Retired,Low,Young,3.0
85.43,67.0,145.0,1.0,14904.9,Debit,Indianapolis,Branch,Engineer,Low,Young,3.0
169.5,28.0,142.0,1.0,918.8800000000001,Debit,Kansas City,Branch,Student,Low,Young,1.0
104.63,62.0,90.0,1.0,4477.78,Debit,Indianapolis,ATM,Engineer,Low,Young,3.0
316.95,25.0,83.0,1.0,1324.0299999999997,Debit,Las Vegas,Online,Engineer,Low,Young,2.0
60.539999999999964,57.0,52.0,1.0,3534.93,Credit,Philadelphia,Branch,Engineer,Low,Young,0.0
292.56,68.0,61.00000000000001,1.0,4638.37,Debit,Charlotte,Online,Doctor,Low,Young,0.0
386.52,48.0,27.999999999999986,1.0,5630.61,Credit,Nashville,Branch,Engineer,Low,Young,2.0
112.07,23.0,51.0,1.0,930.3000000000002,Debit,Indianapolis,Branch,Retired,Low,Young,2.0
568.52,46.0,152.0,1.0,5499.91,Debit,Albuquerque,Branch,Student,Low,Young,1.0
263.99,79.0,227.0,2.0,4175.02,Credit,Austin,Online,Engineer,Low,Young,3.0
349.64,48.0,226.0,1.0,6651.62,Debit,Atlanta,ATM,Engineer,Low,Young,2.0
601.4,56.0,104.0,1.0,8458.29,Debit,Dallas,Online,Engineer,Low,Young,0.0
5.769999999999982,50.0,124.0,1.0,13988.12,Debit,Boston,ATM,Retired,Low,Young,3.0
201.33,42.0,186.0,1.0,2585.07,Credit,Jacksonville,Online,Student,Low,Young,2.0
298.42,56.0,225.0,1.0,3014.75,Debit,Milwaukee,Branch,Doctor,Low,Young,0.0
521.06,25.0,128.0,1.0,1951.42,Debit,Miami,Branch,Student,Low,Young,1.0
117.28,60.0,16.0,1.0,3665.77,Debit,Seattle,Online,Doctor,Low,Young,0.0
189.12,32.0,103.0,1.0,977.0100000000002,Debit,Denver,ATM,Engineer,Low,Young,1.0
133.55000000000004,44.0,220.0,1.0,3846.28,Debit,Denver,Online,Doctor,Low,Young,2.0
143.21,35.0,135.0,1.0,6374.82,Debit,San Diego,Online,Doctor,Low,Young,1.0
24.769999999999982,62.0,55.0,1.0,5866.01,Debit,Mesa,Branch,Doctor,Low,Young,0.0
233.92,26.0,280.0,1.0,6537.62,Credit,San Diego,Online,Doctor,Low,Young,0.0
1212.51,20.0,24.0,1.0,605.9499999999998,Debit,Kansas City,Online,Student,Low,Young,1.0
232.12,37.0,51.0,1.0,6689.87,Credit,Milwaukee,Online,Retired,Low,Young,3.0
297.6564675428116,22.0,113.0,1.0,634.1700000000001,Debit,Houston,Branch,Student,Low,Young,1.0
91.53,44.0,69.0,1.0,14676.05,Debit,San Antonio,ATM,Engineer,Low,Young,1.0
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,Credit,Mesa,Branch,Engineer,Low,Young,0.0
174.25,50.0,67.0,1.0,10528.34,Credit,San Francisco,Branch,Student,Low,Young,1.0
183.71,38.0,102.0,1.0,552.5200000000004,Debit,Louisville,ATM,Engineer,Low,Young,3.0
